WKT,name,description
"POINT (124.2345029 8.2294851)",Gaisano_Old,
"POINT (124.2337151 8.228587)",Pub_Market,Iligan Public Market
"POINT (124.2337956 8.2295905)",Wet_Market,Poblacion Wet Market
"POINT (124.2341121 8.2297073)",Nehal_Arc,Nehal Padian Arcade
"POINT (124.2344339 8.2285445)",Ukay_Market,Ukay-ukay's near IPM
"POINT (124.2345788 8.2302382)",Ludo,Ludo Building
"POINT (124.2347236 8.2312071)",TC_Circle ,Tomas Cabili Circle
"POINT (124.2347719 8.2285355)",AGR_Pharm,AGR Pharmacy
"POINT (124.2348845 8.2294236)",Novo,
"POINT (124.2356883 8.2299213)",Mon_Print,Montever Printing Shop
"POINT (124.2355284 8.2293307)",Halal_Meat,Al_Barakah Meatshop
"POINT (124.2354694 8.2284918)",Dunkin,
"POINT (124.2363715 8.228435)",Bike_Ent,AYP Bicycle Enterprise
"POINT (124.2364197 8.2292155)",DNP,DNP Printing Imaging
"POINT (124.2370781 8.2309788)",Daily,
"POINT (124.2369226 8.2299621)",Fire_Safe,Fire Safe Marketing
"POINT (124.2368206 8.2291923)",RCBC_PNB,RCBC - PNB 
"POINT (124.2366973 8.2284118)",Pulis_Agu,Police Station Aguinaldo St.
"POINT (124.2371968 8.2279073)",Learnfast,Learnfast Computer Institute of Technology, Inc.
"POINT (124.2371431 8.228348)",MC_Hotel,Mari Cristina Hotel
"POINT (124.2373094 8.2291019)",Rojon,Rojon Pharmacy
"POINT (124.2374006 8.2298929)",IS_Rep,IS Electrical Repair Services
"POINT (124.2375625 8.2274904)",Tambacan,Tambacan Bridge'
"POINT (124.2376215 8.2278726)",Glo_Fash,Glorious Fashion
"POINT (124.2376537 8.2282814)",Pater,Pater Al-Kuwait
"POINT (124.2377396 8.2290353)",Penshoppe,
"POINT (124.2377825 8.2298423)",Octagon,
"POINT (124.2386354 8.230575)",COOP_Fuel,
"POINT (124.2397137 8.231228)",Petron,
"POINT (124.2379939 8.2274179)",Fount_Acad,Fountain of Life Academy
"POINT (124.2380315 8.2277896)",Red_Carp,Red Carpet
"POINT (124.2380905 8.2282037)",Mot_Race,Motor Race - Motor Parts
"POINT (124.2381548 8.2289841)",Galaxy_Mart,Iligan Galaxy XPress Mart
"POINT (124.2382142 8.2297749)",ABest,Abest Express (Iligan City Branch)
"POINT (124.2387131 8.2297244)",TechTalk,TechTalk Computer Store
"POINT (124.2385756 8.2289038)",Unitop,
"POINT (124.2384388 8.2281366)",Zoey,Zoey Cafe
"POINT (124.2383798 8.227749)",Ilaya,Cafe Ilaya
"POINT (124.2383235 8.2273624)",GSIS,Governement Service Insurance System
"POINT (124.2388094 8.2261895)",CQ_Print,CQ Printing Press
"POINT (124.2388722 8.2267062)",Coast_Wat,Coastal Waters Water Bottling Services
"POINT (124.2389446 8.2272245)",New_Fash,Iligan New Fashion Shop
"POINT (124.2390231 8.2276439)",Dexter,Dexter's Party Lab
"POINT (124.2391009 8.2280527)",Ball_4k,4K Balloons
"POINT (124.2387029 8.2276861)",Ortiz,Ortiz Building
"POINT (124.2387539 8.2280975)",Shoppe_24,
"POINT (124.2388615 8.2288539)",Watsons,
"POINT (124.2389863 8.2296741)",Frappella,
"POINT (124.2393489 8.2296403)",Avila_Learn,St. Therese de Avila Learning Center
"POINT (124.2392846 8.229266)",Cathedral,St. Michael's Cathedral
